year,month,day,hour,consumption
2013,5,23,12,6.46
2013,5,23,13,7.73
2013,5,23,14,16.94
2013,5,23,15,15.61
2013,5,23,16,17.91
2013,5,23,17,18.12
2013,5,23,18,19.96
2013,5,23,19,16.89
2013,5,23,20,2.99
2013,5,23,21,4.54
2013,5,23,22,5.14
2013,5,23,23,3.7
2013,5,24,0,1.54
2013,5,24,1,5.96
2013,5,24,2,1.16
2013,5,24,3,0.84
2013,5,24,4,0.47
2013,5,24,5,4.89
2013,5,24,6,18.52
2013,5,24,7,16.25
2013,5,24,8,16.82
2013,5,24,9,17.68
2013,5,24,10,17.76
2013,5,24,11,19.25
2013,5,24,12,7.58
2013,5,24,13,7.39
2013,5,24,14,19.32
2013,5,24,15,17.32
2013,5,24,16,15.41
2013,5,24,17,16.44
2013,5,24,18,19.2
2013,5,24,19,16.27
2013,5,24,20,3.19
2013,5,24,21,5.34
2013,5,24,22,4.09
2013,5,24,23,0.91
2013,5,25,0,4.12
2013,5,25,1,3.3
2013,5,25,2,4.56
2013,5,25,3,1.93
2013,5,25,4,1.99
2013,5,25,5,5.03
2013,5,25,6,19.14
2013,5,25,7,19.27
2013,5,25,8,18.42
2013,5,25,9,19.85
2013,5,25,10,16.85
2013,5,25,11,15.9
2013,5,25,12,7.35
2013,5,25,13,7.97
2013,5,25,14,15.01
2013,5,25,15,16.01
2013,5,25,16,16.03
2013,5,25,17,18.77
2013,5,25,18,19.1
2013,5,25,19,18.2
2013,5,25,20,5.95
2013,5,25,21,1.19
2013,5,25,22,3.77
2013,5,25,23,2.01
2013,5,26,0,3.44
2013,5,26,1,0.28
2013,5,26,2,3.9
2013,5,26,3,4.35
2013,5,26,4,0.44
2013,5,26,5,2.4
2013,5,26,6,16.67
2013,5,26,7,19.95
2013,5,26,8,16.07
2013,5,26,9,16.93
2013,5,26,10,18.81
2013,5,26,11,19.05
2013,5,26,12,7.02
2013,5,26,13,7.7
2013,5,26,14,18.51
2013,5,26,15,19.84
2013,5,26,16,19.43
2013,5,26,17,15.61
2013,5,26,18,16.27
2013,5,26,19,15.42
2013,5,26,20,0.64
2013,5,26,21,5.74
2013,5,26,22,0.21
2013,5,26,23,4.54
2013,5,27,0,4.2
2013,5,27,1,3.09
2013,5,27,2,3.65
2013,5,27,3,3.22
2013,5,27,4,3.62
2013,5,27,5,1.2
2013,5,27,6,17.67
2013,5,27,7,16.79
2013,5,27,8,19.26
2013,5,27,9,15.67
2013,5,27,10,19.45
2013,5,27,11,17.87
2013,5,27,12,7.44
2013,5,27,13,6.02
2013,5,27,14,17.66
2013,5,27,15,19.52
2013,5,27,16,17.1
2013,5,27,17,19.76
2013,5,27,18,15.57
2013,5,27,19,16.23
2013,5,27,20,2.61
2013,5,27,21,1.37
2013,5,27,22,3.72
2013,5,27,23,0.38
2013,5,28,0,2.94
2013,5,28,1,4.97
2013,5,28,2,3.94
2013,5,28,3,2.6
2013,5,28,4,0.49
2013,5,28,5,0.46
2013,5,28,6,17.7
2013,5,28,7,17.91
2013,5,28,8,18.28
2013,5,28,9,15.17
2013,5,28,10,19.88
2013,5,28,11,17.11
2013,5,28,12,6.38
2013,5,28,13,7.03
2013,5,28,14,15.36
2013,5,28,15,19.98
2013,5,28,16,19.78
2013,5,28,17,15.06
2013,5,28,18,18.52
2013,5,28,19,15.47
2013,5,28,20,2.32
2013,5,28,21,4.59
2013,5,28,22,3.75
2013,5,28,23,0.53
2013,5,29,0,3.98
2013,5,29,1,2.17
2013,5,29,2,4.91
2013,5,29,3,0.41
2013,5,29,4,5.4
2013,5,29,5,0.79
2013,5,29,6,15.93
2013,5,29,7,15.97
2013,5,29,8,19.25
2013,5,29,9,19.06
2013,5,29,10,17.3
2013,5,29,11,19.96
2013,5,29,12,7.28
2013,5,29,13,6.61
2013,5,29,14,16.04
2013,5,29,15,17.13
2013,5,29,16,19.5
2013,5,29,17,19.07
2013,5,29,18,15.57
2013,5,29,19,15.91
2013,5,29,20,5.07
2013,5,29,21,0.43
2013,5,29,22,3.1
2013,5,29,23,1.96
2013,5,30,0,2.14
2013,5,30,1,4.04
2013,5,30,2,2.46
2013,5,30,3,1.57
2013,5,30,4,3.35
2013,5,30,5,0.14
2013,5,30,6,19.52
2013,5,30,7,15.91
2013,5,30,8,17.38
2013,5,30,9,18.32
2013,5,30,10,18.06
2013,5,30,11,16.37
2013,5,30,12,6.65
2013,5,30,13,7.96
2013,5,30,14,15.8
2013,5,30,15,19.69
2013,5,30,16,18.23
2013,5,30,17,17.91
2013,5,30,18,16.81
2013,5,30,19,17.87
2013,5,30,20,2.97
2013,5,30,21,1.62
2013,5,30,22,5.35
2013,5,30,23,3.28
2013,5,31,0,3.3
2013,5,31,1,3.27
2013,5,31,2,4.5
2013,5,31,3,2.49
2013,5,31,4,3.97
2013,5,31,5,3.76
2013,5,31,6,17.4
2013,5,31,7,17.18
2013,5,31,8,18.8
2013,5,31,9,18.31
2013,5,31,10,17.1
2013,5,31,11,18.81
2013,5,31,12,7.74
2013,5,31,13,7.5
2013,5,31,14,18.8
2013,5,31,15,15.55
2013,5,31,16,15.6
2013,5,31,17,19.75
2013,5,31,18,18.84
2013,5,31,19,19.06
2013,5,31,20,1.83
2013,5,31,21,5.68
2013,5,31,22,0.53
2013,5,31,23,5.8
2013,6,1,0,3.42
2013,6,1,1,1.94
2013,6,1,2,0.63
2013,6,1,3,3.31
2013,6,1,4,2.49
2013,6,1,5,1.0
2013,6,1,6,18.6
2013,6,1,7,19.27
2013,6,1,8,16.09
2013,6,1,9,18.78
2013,6,1,10,18.83
2013,6,1,11,17.69
2013,6,1,12,6.06
2013,6,1,13,6.81
2013,6,1,14,17.78
2013,6,1,15,19.58
2013,6,1,16,17.9
2013,6,1,17,15.87
2013,6,1,18,16.91
2013,6,1,19,18.58
2013,6,1,20,2.42
2013,6,1,21,4.46
2013,6,1,22,3.31
2013,6,1,23,2.8
2013,6,2,0,4.12
2013,6,2,1,0.83
2013,6,2,2,2.34
2013,6,2,3,3.32
2013,6,2,4,5.51
2013,6,2,5,2.38
2013,6,2,6,19.33
2013,6,2,7,17.77
2013,6,2,8,15.27
2013,6,2,9,16.86
2013,6,2,10,18.49
2013,6,2,11,19.56
2013,6,2,12,6.3
2013,6,2,13,7.36
2013,6,2,14,18.92
2013,6,2,15,17.96
2013,6,2,16,18.92
2013,6,2,17,15.95
2013,6,2,18,17.49
2013,6,2,19,19.28
2013,6,2,20,2.64
2013,6,2,21,1.77
2013,6,2,22,4.97
2013,6,2,23,2.09
2013,6,3,0,3.37
2013,6,3,1,0.89
2013,6,3,2,2.45
2013,6,3,3,4.96
2013,6,3,4,3.8
2013,6,3,5,5.35
2013,6,3,6,17.12
2013,6,3,7,15.95
2013,6,3,8,15.45
2013,6,3,9,15.91
2013,6,3,10,16.25
2013,6,3,11,18.32
2013,6,3,12,6.45
2013,6,3,13,7.6
2013,6,3,14,18.91
2013,6,3,15,15.5
2013,6,3,16,15.25
2013,6,3,17,19.74
2013,6,3,18,18.47
2013,6,3,19,16.05
2013,6,3,20,4.73
2013,6,3,21,1.27
2013,6,3,22,1.69
2013,6,3,23,2.87
2013,6,4,0,2.87
2013,6,4,1,2.1
2013,6,4,2,5.7
2013,6,4,3,2.37
2013,6,4,4,5.98
2013,6,4,5,3.3
2013,6,4,6,16.06
2013,6,4,7,19.46
2013,6,4,8,15.37
2013,6,4,9,15.22
2013,6,4,10,19.46
2013,6,4,11,18.54
2013,6,4,12,7.46
2013,6,4,13,6.37
2013,6,4,14,18.93
2013,6,4,15,18.7
2013,6,4,16,17.05
2013,6,4,17,17.05
2013,6,4,18,19.42
2013,6,4,19,19.49
2013,6,4,20,3.8
2013,6,4,21,1.2
2013,6,4,22,2.19
2013,6,4,23,1.88
2013,6,5,0,2.54
2013,6,5,1,1.63
2013,6,5,2,4.78
2013,6,5,3,4.85
2013,6,5,4,3.33
2013,6,5,5,3.04
2013,6,5,6,19.35
2013,6,5,7,15.52
2013,6,5,8,15.76
2013,6,5,9,19.23
2013,6,5,10,19.85
2013,6,5,11,18.55
2013,6,5,12,6.03
2013,6,5,13,7.07
2013,6,5,14,19.58
2013,6,5,15,15.6
2013,6,5,16,19.11
2013,6,5,17,18.17
2013,6,5,18,15.44
2013,6,5,19,15.79
2013,6,5,20,3.6
2013,6,5,21,0.5
2013,6,5,22,2.33
2013,6,5,23,1.87
2013,6,6,0,2.59
2013,6,6,1,3.85
2013,6,6,2,2.39
2013,6,6,3,2.35
2013,6,6,4,4.16
2013,6,6,5,3.67
2013,6,6,6,18.42
2013,6,6,7,17.51
2013,6,6,8,19.0
2013,6,6,9,16.25
2013,6,6,10,16.38
2013,6,6,11,16.95
2013,6,6,12,6.87
2013,6,6,13,7.94
2013,6,6,14,17.78
2013,6,6,15,19.59
2013,6,6,16,15.25
2013,6,6,17,15.89
2013,6,6,18,17.04
2013,6,6,19,18.68
2013,6,6,20,4.61
2013,6,6,21,2.07
2013,6,6,22,5.77
2013,6,6,23,0.51
2013,6,7,0,5.82
2013,6,7,1,0.54
2013,6,7,2,1.35
2013,6,7,3,5.13
2013,6,7,4,3.52
2013,6,7,5,3.76
2013,6,7,6,17.59
2013,6,7,7,19.41
2013,6,7,8,19.14
2013,6,7,9,15.4
2013,6,7,10,17.73
2013,6,7,11,17.37
2013,6,7,12,7.63
2013,6,7,13,7.91
2013,6,7,14,15.88
2013,6,7,15,18.16
2013,6,7,16,17.36
2013,6,7,17,16.53
2013,6,7,18,18.49
2013,6,7,19,16.99
2013,6,7,20,3.27
2013,6,7,21,5.73
2013,6,7,22,4.26
2013,6,7,23,1.2
2013,6,8,0,1.28
2013,6,8,1,3.25
2013,6,8,2,3.59
2013,6,8,3,4.19
2013,6,8,4,3.2
2013,6,8,5,0.93
2013,6,8,6,17.35
2013,6,8,7,15.57
2013,6,8,8,15.24
2013,6,8,9,19.66
2013,6,8,10,19.88
2013,6,8,11,17.45
2013,6,8,12,7.53
2013,6,8,13,6.57
2013,6,8,14,19.76
2013,6,8,15,17.58
2013,6,8,16,15.02
2013,6,8,17,15.61
2013,6,8,18,15.3
2013,6,8,19,16.87
2013,6,8,20,4.48
2013,6,8,21,4.61
2013,6,8,22,1.69
2013,6,8,23,1.76
2013,6,9,0,4.56
2013,6,9,1,5.76
2013,6,9,2,3.49
2013,6,9,3,0.93
2013,6,9,4,0.45
2013,6,9,5,1.08
2013,6,9,6,18.41
2013,6,9,7,18.05
2013,6,9,8,15.3
2013,6,9,9,19.72
2013,6,9,10,17.81
2013,6,9,11,16.19
2013,6,9,12,7.15
2013,6,9,13,7.2
2013,6,9,14,16.87
2013,6,9,15,18.55
2013,6,9,16,17.31
2013,6,9,17,18.75
2013,6,9,18,19.77
2013,6,9,19,15.7
2013,6,9,20,5.61
2013,6,9,21,2.08
2013,6,9,22,5.06
2013,6,9,23,5.17
2013,6,10,0,1.88
2013,6,10,1,3.18
2013,6,10,2,1.02
2013,6,10,3,3.89
2013,6,10,4,2.01
2013,6,10,5,2.77
2013,6,10,6,15.47
2013,6,10,7,16.52
2013,6,10,8,19.95
2013,6,10,9,18.34
2013,6,10,10,19.48
2013,6,10,11,15.87
2013,6,10,12,7.93
2013,6,10,13,6.42
2013,6,10,14,15.66
2013,6,10,15,17.22
2013,6,10,16,15.4
2013,6,10,17,15.13
2013,6,10,18,18.12
2013,6,10,19,19.44
2013,6,10,20,5.64
2013,6,10,21,1.62
2013,6,10,22,3.46
2013,6,10,23,4.72
2013,6,11,0,5.1
2013,6,11,1,3.97
2013,6,11,2,5.07
2013,6,11,3,4.44
2013,6,11,4,1.73
2013,6,11,5,0.26
2013,6,11,6,17.37
2013,6,11,7,15.87
2013,6,11,8,15.16
2013,6,11,9,19.4
2013,6,11,10,18.39
2013,6,11,11,19.85
2013,6,11,12,7.98
2013,6,11,13,6.56
2013,6,11,14,18.07
2013,6,11,15,18.32
2013,6,11,16,17.42
2013,6,11,17,16.67
2013,6,11,18,17.55
2013,6,11,19,17.83
2013,6,11,20,1.22
2013,6,11,21,5.77
2013,6,11,22,3.69
2013,6,11,23,5.18
2013,6,12,0,4.36
2013,6,12,1,3.52
2013,6,12,2,1.72
2013,6,12,3,3.7
2013,6,12,4,3.48
2013,6,12,5,5.6
2013,6,12,6,19.79
2013,6,12,7,19.74
2013,6,12,8,19.11
2013,6,12,9,16.82
2013,6,12,10,16.52
2013,6,12,11,19.93
2013,6,12,12,6.76
2013,6,12,13,6.59
2013,6,12,14,16.89
2013,6,12,15,18.82
2013,6,12,16,18.3
2013,6,12,17,16.93
2013,6,12,18,16.85
2013,6,12,19,15.03
2013,6,12,20,4.33
2013,6,12,21,4.22
2013,6,12,22,0.98
2013,6,12,23,2.55
2013,6,13,0,0.76
2013,6,13,1,1.12
2013,6,13,2,5.14
2013,6,13,3,5.95
2013,6,13,4,2.71
2013,6,13,5,3.21
2013,6,13,6,18.16
2013,6,13,7,19.84
2013,6,13,8,15.33
2013,6,13,9,19.26
2013,6,13,10,16.58
2013,6,13,11,18.27
2013,6,13,12,7.1
2013,6,13,13,7.05
2013,6,13,14,15.2
2013,6,13,15,19.42
2013,6,13,16,18.16
2013,6,13,17,15.91
2013,6,13,18,16.58
2013,6,13,19,15.45
2013,6,13,20,3.51
2013,6,13,21,1.33
2013,6,13,22,5.25
2013,6,13,23,0.23
2013,6,14,0,3.21
2013,6,14,1,1.31
2013,6,14,2,3.46
2013,6,14,3,2.89
2013,6,14,4,2.47
2013,6,14,5,5.72
2013,6,14,6,19.75
2013,6,14,7,15.89
2013,6,14,8,15.72
2013,6,14,9,17.8
2013,6,14,10,15.33
2013,6,14,11,19.44
2013,6,14,12,7.3
2013,6,14,13,7.57
2013,6,14,14,15.24
2013,6,14,15,16.74
2013,6,14,16,15.51
2013,6,14,17,17.03
2013,6,14,18,16.03
2013,6,14,19,16.01
2013,6,14,20,3.0
2013,6,14,21,1.61
2013,6,14,22,1.33
2013,6,14,23,3.69
2013,6,15,0,5.58
2013,6,15,1,0.76
2013,6,15,2,2.92
2013,6,15,3,4.19
2013,6,15,4,2.02
2013,6,15,5,0.56
2013,6,15,6,18.75
2013,6,15,7,18.07
2013,6,15,8,16.74
2013,6,15,9,16.01
2013,6,15,10,16.81
2013,6,15,11,17.75
2013,6,15,12,7.41
2013,6,15,13,7.91
2013,6,15,14,16.75
2013,6,15,15,16.53
2013,6,15,16,16.79
2013,6,15,17,17.45
2013,6,15,18,16.33
2013,6,15,19,16.97
2013,6,15,20,0.65
2013,6,15,21,2.65
2013,6,15,22,4.4
2013,6,15,23,1.39
2013,6,16,0,4.07
2013,6,16,1,2.73
2013,6,16,2,0.26
2013,6,16,3,3.01
2013,6,16,4,4.33
2013,6,16,5,1.14
2013,6,16,6,19.58
2013,6,16,7,16.53
2013,6,16,8,16.41
2013,6,16,9,18.98
2013,6,16,10,16.64
2013,6,16,11,17.95
2013,6,16,12,7.05
2013,6,16,13,7.67
2013,6,16,14,19.13
2013,6,16,15,17.32
2013,6,16,16,19.38
2013,6,16,17,15.31
2013,6,16,18,18.11
2013,6,16,19,19.86
2013,6,16,20,2.91
2013,6,16,21,0.52
2013,6,16,22,2.44
2013,6,16,23,2.29
2013,6,17,0,1.99
2013,6,17,1,1.69
2013,6,17,2,4.29
2013,6,17,3,5.77
2013,6,17,4,0.28
2013,6,17,5,0.33
2013,6,17,6,19.27
2013,6,17,7,16.68
2013,6,17,8,16.57
2013,6,17,9,15.69
2013,6,17,10,18.59
2013,6,17,11,16.66
2013,6,17,12,6.12
2013,6,17,13,6.63
2013,6,17,14,18.11
2013,6,17,15,15.67
2013,6,17,16,18.57
2013,6,17,17,19.75
2013,6,17,18,16.8
2013,6,17,19,18.44
2013,6,17,20,1.1
2013,6,17,21,2.66
2013,6,17,22,1.66
2013,6,17,23,0.84
2013,6,18,0,4.47
2013,6,18,1,2.45
2013,6,18,2,0.78
2013,6,18,3,4.68
2013,6,18,4,2.22
2013,6,18,5,1.26
2013,6,18,6,18.81
2013,6,18,7,18.46
2013,6,18,8,16.4
2013,6,18,9,15.99
2013,6,18,10,15.28
2013,6,18,11,19.91
2013,6,18,12,6.77
2013,6,18,13,6.85
2013,6,18,14,15.53
2013,6,18,15,16.18
2013,6,18,16,17.14
2013,6,18,17,16.34
2013,6,18,18,16.65
2013,6,18,19,15.67
2013,6,18,20,3.12
2013,6,18,21,4.59
2013,6,18,22,0.49
2013,6,18,23,5.56
2013,6,19,0,5.56
2013,6,19,1,1.01
2013,6,19,2,0.15
2013,6,19,3,5.14
2013,6,19,4,5.22
2013,6,19,5,0.76
2013,6,19,6,18.55
2013,6,19,7,19.98
2013,6,19,8,16.32
2013,6,19,9,15.13
2013,6,19,10,18.12
2013,6,19,11,19.82
2013,6,19,12,7.78
2013,6,19,13,6.68
2013,6,19,14,16.59
2013,6,19,15,18.9
2013,6,19,16,18.62
2013,6,19,17,15.94
2013,6,19,18,17.21
2013,6,19,19,18.98
2013,6,19,20,0.8
2013,6,19,21,3.0
2013,6,19,22,0.98
2013,6,19,23,2.74
2013,6,20,0,1.16
2013,6,20,1,4.44
2013,6,20,2,4.81
2013,6,20,3,0.99
2013,6,20,4,0.23
2013,6,20,5,4.1
2013,6,20,6,18.53
2013,6,20,7,17.68
2013,6,20,8,16.92
2013,6,20,9,17.66
2013,6,20,10,15.8
2013,6,20,11,15.1
2013,6,20,12,7.86
2013,6,20,13,7.18
2013,6,20,14,19.41
2013,6,20,15,17.89
2013,6,20,16,16.81
2013,6,20,17,16.04
2013,6,20,18,17.88
2013,6,20,19,15.98
2013,6,20,20,4.68
2013,6,20,21,2.67
2013,6,20,22,2.42
2013,6,20,23,0.28
2013,6,21,0,5.06
2013,6,21,1,4.91
2013,6,21,2,1.12
2013,6,21,3,1.11
2013,6,21,4,5.26
2013,6,21,5,2.04
2013,6,21,6,19.83
2013,6,21,7,16.54
2013,6,21,8,15.5
2013,6,21,9,19.55
2013,6,21,10,16.27
2013,6,21,11,15.17
2013,6,21,12,7.6
2013,6,21,13,7.58
2013,6,21,14,15.47
2013,6,21,15,16.72
2013,6,21,16,19.96
2013,6,21,17,16.83
2013,6,21,18,15.5
2013,6,21,19,15.74
2013,6,21,20,3.32
2013,6,21,21,1.84
2013,6,21,22,4.55
2013,6,21,23,5.41
2013,6,22,0,1.35
2013,6,22,1,5.6
2013,6,22,2,1.23
2013,6,22,3,2.98
2013,6,22,4,4.25
2013,6,22,5,0.15
2013,6,22,6,15.2
2013,6,22,7,18.63
2013,6,22,8,18.57
2013,6,22,9,15.7
2013,6,22,10,16.12
2013,6,22,11,19.39
2013,6,22,12,6.91
2013,6,22,13,6.11
2013,6,22,14,17.78
2013,6,22,15,16.31
2013,6,22,16,19.22
2013,6,22,17,18.87
2013,6,22,18,19.09
2013,6,22,19,19.72
2013,6,22,20,5.25
2013,6,22,21,1.77
2013,6,22,22,3.51
2013,6,22,23,3.92
2013,6,23,0,5.28
2013,6,23,1,4.64
2013,6,23,2,0.46
2013,6,23,3,5.03
2013,6,23,4,2.55
2013,6,23,5,1.73
2013,6,23,6,19.16
2013,6,23,7,18.35
2013,6,23,8,16.15
2013,6,23,9,17.76
2013,6,23,10,18.06
2013,6,23,11,16.73
2013,6,23,12,7.0
2013,6,23,13,6.33
2013,6,23,14,17.77
2013,6,23,15,19.6
2013,6,23,16,18.05
2013,6,23,17,17.56
2013,6,23,18,16.94
2013,6,23,19,17.7
2013,6,23,20,1.04
2013,6,23,21,0.25
2013,6,23,22,1.0
2013,6,23,23,4.32
2013,6,24,0,1.43
2013,6,24,1,0.11
2013,6,24,2,4.12
2013,6,24,3,2.96
2013,6,24,4,3.69
2013,6,24,5,4.39
2013,6,24,6,17.54
2013,6,24,7,16.36
2013,6,24,8,15.68
2013,6,24,9,17.56
2013,6,24,10,15.69
2013,6,24,11,15.81
2013,6,24,12,6.66
2013,6,24,13,7.24
2013,6,24,14,17.67
2013,6,24,15,15.88
2013,6,24,16,18.66
2013,6,24,17,17.04
